iter	Passed	Remaining
1028	189346	68267
1029	189573	68099
1030	189797	67929
1031	190059	67773
1032	190475	67671
1033	190787	67532
1034	191024	67366
1035	191227	67188
1036	191397	66998
1037	191609	66823
1038	191824	66649
1039	192015	66466
1040	192253	66300
1041	192555	66156
1042	192806	65994
1043	193014	65817
1044	193225	65641
1045	193511	65490
1046	193713	65311
1047	193931	65137
1048	194111	64950
1049	194347	64782
1050	194552	64604
1051	194731	64416
1052	194921	64233
1053	195102	64046
1054	195263	63853
1055	195484	63680
1056	195677	63498
1057	195874	63316
1058	196125	63152
1059	196367	62985
1060	196578	62808
1061	196771	62625
1062	196965	62443
1063	197184	62268
1064	197396	62091
1065	197607	61914
1066	197802	61732
1067	197995	61549
1068	198183	61364
1069	198371	61179
1070	198558	60995
1071	198751	60812
1072	198934	60625
1073	199115	60439
1074	199317	60258
1075	199516	60077
1076	199704	59892
1077	199892	59708
1078	200076	59522
1079	200255	59335
1080	200473	59159
1081	200653	58972
1082	200850	58790
1083	201058	58611
1084	201305	58443
1085	201538	58271
1086	201752	58094
1087	201941	57909
1088	202143	57728
1089	202322	57541
1090	202507	57355
1091	202704	57173
1092	202897	56989
1093	203086	56804
1094	203274	56619
1095	203496	56444
1096	203722	56269
1097	203917	56086
1098	204101	55900
1099	204331	55726
1100	204564	55553
1101	204768	55373
1102	204943	55184
1103	205130	54998
1104	205377	54829
1105	205582	54648
1106	205848	54483
1107	206095	54313
1108	206392	54157
1109	206623	53982
1110	206811	53796
1111	207033	53620
1112	207309	53457
1113	207544	53283
1114	207784	53110
1115	208068	52949
1116	208280	52769
1117	208467	52583
1118	208670	52400
1119	208872	52218
1120	209085	52038
1121	209291	51856
1122	209512	51678
1123	209738	51501
1124	209943	51319
1125	210153	51138
1126	210352	50954
1127	210552	50771
1128	210754	50588
1129	210912	50395
1130	211206	50233
1131	211435	50057
1132	211644	49875
1133	211834	49689
1134	212038	49506
1135	212272	49330
1136	212492	49151
1137	212696	48968
1138	212924	48791
1139	213128	48608
1140	213342	48427
1141	213561	48247
